Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
0.7,0.1,6.3,5.2,26.0,40.0,3794.0,5.4,13.4,2637.0,-0.4,40.9,85.0,63.0,389.0,5.0,0.0,36.0,61.0,1.39,96.0,77.0,2.9,2.6,6.0,1.1,23.0,6.0,1.0,9.0,11.0,19.2,0.48,19.2,1.7,2.0,2.1,73.0,84.0,2030.0,0.0,0.0,0.0,248.4,122.3
0.2,-0.6,163.7,6.4,46.0,68.0,3388.0,22.9,68.5,2330.0,1.6,52.5,87.0,82.0,570.0,5.0,0.0,44.0,74.0,1.39,99.0,60.0,0.7,1.4,3.9,1.6,39.0,4.9,1.0,9.0,73.0,29.8,0.64,29.1,9.4,9.8,9.2,42.0,73.0,9811.0,0.0,0.0,0.0,46.2,4.7
1.8,1.2,98.3,1.6,8.0,18.0,2246.0,604.0,1507.1,3284.0,1.2,56.3,127.0,70.0,597.0,10.0,0.0,7.0,13.0,1.32,99.0,54.0,3.0,1.5,3.4,4.2,46.0,3.4,3.0,0.0,287.0,9.1,0.57,8.6,108.1,183.9,209.4,47.0,83.0,183913.0,0.0,0.0,0.0,285.1,1.6
2.0,1.3,16.1,1.3,21.0,21.0,1045.0,97.7,325.9,2176.0,0.5,60.5,133.0,75.0,522.0,9.0,0.0,15.0,22.0,1.09,92.0,38.0,3.1,3.8,6.4,1.2,62.0,6.4,0.0,60.0,207.0,10.8,0.58,12.0,25.4,44.9,52.1,17.0,83.0,44915.0,0.0,0.0,0.0,509.0,11.3
2.5,1.6,39.3,5.6,39.0,36.0,3510.0,110.1,157.9,4214.0,-1.2,55.9,148.0,67.0,231.0,7.0,0.0,20.0,20.0,1.07,80.0,12.0,1.4,1.2,2.0,2.5,88.0,2.0,0.0,3.0,82.0,18.0,0.51,18.0,12.7,26.3,31.3,77.0,82.0,26282.0,0.0,0.0,0.0,48.6,1.8
0.9,0.6,17.3,1.0,15.0,21.0,1743.0,7.6,15.5,2439.0,4.8,49.4,85.0,69.0,366.0,3.0,0.0,23.0,43.0,1.57,96.0,82.0,5.6,1.2,2.7,3.8,18.0,2.7,0.0,13.0,22.0,7.1,0.54,7.1,2.4,3.1,3.3,34.0,91.0,3112.0,0.0,0.0,0.0,362.5,116.5
1.5,0.7,3.9,3.9,34.0,71.0,1896.0,161.7,515.3,2539.0,2.6,65.4,87.0,81.0,260.0,9.0,0.0,42.0,66.0,1.17,96.0,75.0,0.9,1.2,2.0,1.3,22.0,2.0,117.0,0.0,307.0,10.7,0.59,10.8,41.3,63.7,69.1,71.0,73.0,63694.0,0.0,0.0,0.0,-1.8,21.4
4.1,2.3,0.5,13.0,41.0,53.0,6749.0,250.6,331.1,10462.0,-0.1,17.3,116.0,22.0,578.0,11.0,0.0,32.0,25.0,1.5,97.0,12.0,7.0,8.3,3.0,1.0,88.0,2.5,241.0,0.0,200.0,0.0,0.15,0.0,7.3,24.0,30.8,40.0,79.0,23950.0,0.0,0.0,0.0,32.3,1.3
-0.1,-1.1,73.3,6.6,28.0,61.0,3683.0,64.8,303.4,1366.0,-3.2,49.9,87.0,79.0,305.0,5.0,0.0,29.0,54.0,1.19,99.0,67.0,2.6,2.6,3.8,1.9,32.0,3.8,2.0,84.0,188.0,7.1,0.53,7.1,49.0,47.0,41.8,63.0,79.0,46989.0,0.0,0.0,0.0,360.1,7.7
1.0,1.0,15.5,5.4,18.0,21.0,2829.0,21.8,20.7,6149.0,3.7,31.7,100.0,40.0,730.0,6.0,0.0,100.0,41.0,1.12,96.0,68.0,1.3,3.8,3.0,7.2,31.0,3.0,1.0,18.0,72.0,4.7,0.31,4.7,2.7,3.5,4.0,82.0,92.0,3540.0,0.0,0.0,0.0,264.8,74.8
0.2,0.6,33.6,10.7,37.0,55.0,4114.0,40.7,111.6,2717.0,1.7,65.0,106.0,87.0,315.0,8.0,0.0,38.0,46.0,1.38,99.0,16.0,10.1,1.0,2.0,1.5,84.0,2.0,7.0,4.0,66.0,8.6,0.63,10.4,14.1,14.8,14.9,79.0,75.0,14839.0,0.0,0.0,0.0,265.0,17.9
0.2,-0.2,31.4,1.1,35.0,39.0,1375.0,3.1,12.4,1017.0,2.7,48.1,67.0,79.0,302.0,7.0,0.0,46.0,53.0,1.21,92.0,62.0,7.1,2.6,1.2,4.8,38.0,1.2,220.0,14.0,48.0,5.3,0.63,5.3,2.8,3.0,3.0,44.0,77.0,3026.0,0.0,0.0,0.0,254.1,84.0
1.2,0.6,5.5,3.2,19.0,34.0,1440.0,1931.7,7642.3,1490.0,8.9,69.2,95.0,84.0,278.0,6.0,0.0,16.0,31.0,0.84,84.0,91.0,2.8,2.4,2.0,3.6,8.0,2.0,299.0,124.0,2255.0,20.3,0.64,20.3,927.8,1308.0,1393.0,63.0,94.0,1307989.0,0.0,0.0,0.0,1661.1,1.3
